identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
*.buildstaging.com,WILDCARD,"",false,true,,,,critical,,2025-01-21 21:09:15 UTC,2025-01-21 21:09:15 UTC
*.hotmart.com,WILDCARD,"",false,false,,,,critical,,2025-01-21 21:10:15 UTC,2025-01-21 21:10:15 UTC
*.teachable.com,WILDCARD,"",false,false,,,,critical,"Cloudflare DDOS, Cloudflare WAF, PostgresSQL, Amazon Web Services, React, Ruby, Rails, Angular",2025-01-21 21:10:15 UTC,2025-01-21 21:10:15 UTC
